"species_number","latin_name","source","am_d","Lb_cm","Lp_cm","Li_cm","Ri_#/d"
1,"Pimephales promelas","ecotox",1825,0.5,4.49,7.4,30
2,"Lepomis macrochirus","ecotox",3468,0.545,NA,22.9,219.2
3,"Salvelinus fontinalis","ecotox",8760,NA,15,86,13.7
4,"Oncorhynchus mykiss","ecotox",4015,NA,54,120,174
5,"Daphnia magna","ecotox",45,0.1,0.25,NA,NA
8,"Daphnia pulex","ecotox",54,0.07,0.16,0.4,7
10,"Carcinus maenas","ecotox",2190,NA,3.3,6.75,547.9
11,"Crangon crangon","ecotox",1825,0.2,5.8,7.4,NA
16,"Gambusia affinis","ecotox",1095,0.7,2.25,5.5,1.228
18,"Semotilus atromaculatus","ecotox",2920,NA,12,30.3,6.178
19,"Lagodon rhomboides","ecotox",2920,NA,13.1,40,246.6
20,"Ictalurus punctatus","ecotox",8760,1.1,33.8,132,177.1
21,"Cyprinus carpio","ecotox",13870,0.7,25.1,130,NA
22,"Oncorhynchus tshawytscha","ecotox",1460,3.47,68,150,NA
23,"Oncorhynchus kisutch","ecotox",1825,NA,77,108,NA
25,"Carassius auratus","ecotox",14960,NA,NA,48,260.7
27,"Gammarus pseudolimnaeus","ecotox",460,0.19,0.7,1.6,0.3699
28,"Poecilia reticulata","ecotox",912.5,0.7,NA,5,1.786
30,"Lepomis cyanellus","ecotox",3650,0.42,6.6,30,71.23
38,"Perca flavescens","ecotox",4015,NA,19.2,50,168.4
42,"Rutilus rutilus","ecotox",5110,NA,10.7,44,NA
43,"Tinca tinca","ecotox",7300,0.53,19.75,84,NA
44,"Perca fluviatilis","ecotox",8030,0.5,13,60,NA
48,"Daphnia hyalina","ecotox",65,0.06,0.116,0.263,4.706
49,"Salmo trutta","ecotox",3650,2,35,110,5.479
52,"Hyalella azteca","ecotox",480,0.102,0.28,0.915,1.02
57,"Fundulus heteroclitus","ecotox",1825,NA,4,15,1.403
59,"Morone saxatilis","ecotox",10950,NA,43.2,200,NA
64,"Carassius carassius","ecotox",3650,0.725,NA,50,1370
65,"Lepomis humilis","ecotox",2555,NA,3,17.7,12.88
68,"Salmo salar","ecotox",4748,2.825,NA,95,39.7
69,"Labidesthes sicculus","ecotox",730,NA,7,13,274
71,"Mugil cephalus","ecotox",2190,NA,35.4,89,3014
73,"Poecilia latipinna","ecotox",912.5,0.98,6.079,12.0785,0.8219
82,"Salvelinus namaycush","ecotox",18250,NA,46,150,46.58
84,"Petromyzon marinus","ecotox",4015,NA,13.6,120,NA
86,"Cyprinodon variegatus","ecotox",1095,0.4,2.7,7.5,2.192
89,"Micropterus salmoides","ecotox",8395,NA,25,97,299.5
90,"Oncorhynchus nerka","ecotox",2920,NA,60,84,NA
96,"Lepomis microlophus","ecotox",3285,NA,15,35.5,219.2
97,"Gasterosteus aculeatus","ecotox",2920,NA,4.5,8.49,0.4384
100,"Pomoxis annularis","ecotox",3650,NA,20,51,892.3
101,"Jordanella floridae","ecotox",200,NA,3.5,6,27
105,"Umbra pygmaea","ecotox",1825,NA,3.7,13.7,NA
106,"Micropterus dolomieu","ecotox",9490,0.23,22,69,57.81
107,"Notropis hudsonius","ecotox",1825,NA,6.7,15,NA
109,"Oryzias latipes","ecotox",2008,0.45,2.53,4,30
34398,"Oryzias latipes","synonym",2008,0.45,2.53,4,30
112,"Notemigonus crysoleucas","ecotox",3285,NA,6.4,32,NA
123,"Ptychocheilus oregonensis","ecotox",6205,NA,28.19,63,68.49
124,"Fundulus diaphanus","ecotox",1168,NA,3.7,7.7,2.91
125,"Morone americana","ecotox",5840,NA,25,58,NA
129,"Pleuronectes platessa","ecotox",10950,0.765,34,78,NA
131,"Esox lucius","ecotox",7300,0.875,50.8,150,274
132,"Limanda limanda","ecotox",4380,NA,26,40,2575
133,"Ameiurus melas","ecotox",3650,NA,45,66,10.41
134,"Oreochromis mossambicus","ecotox",4015,NA,15.4,35.5,8.682
135,"Cyprinodon macularius","ecotox",1095,NA,1.5,6.08,2.192
139,"Salvelinus malma","ecotox",3285,NA,23.5,127,1.233
142,"Americamysis bahia","ecotox",150,0.152,NA,0.98,NA
143,"Notropis atherinoides","ecotox",3285,NA,4.2,13,8.192
144,"Alosa sapidissima","ecotox",4745,0.9,43,76,1644
150,"Chelon labrosus","ecotox",8395,0.5,25,90,NA
170,"Daphnia longispina","ecotox",28.2,0.0627,0.2132,0.29,NA
171,"Chydorus sphaericus","ecotox",90,0.019,0.033,0.05,0.33
172,"Eubosmina coregoni","synonym",140,0.025,0.042,0.08,5
173,"Ceriodaphnia pulchella","ecotox",140,0.004,0.025,0.09,2
195,"Acrocheilus alutaceus","ecotox",2555,NA,14,30,16.99
196,"Pimephales notatus","ecotox",1825,NA,5,11,11.49
201,"Ctenopharyngodon idella","ecotox",7665,NA,60,150,4110
219,"Oncorhynchus gorbuscha","ecotox",1095,NA,45,76,NA
261,"Dorosoma cepedianum","ecotox",3650,NA,36.1,58.95,1479
263,"Coregonus clupeaformis","ecotox",18250,NA,46.7,100,333.4
264,"Coregonus hoyi","ecotox",4015,NA,17.6,37,95.59
270,"Osmerus mordax","ecotox",2555,0.26,19.5,35.6,123.3
274,"Agosia chrysogaster","ecotox",547.5,NA,4.2,10,NA
275,"Campostoma anomalum","ecotox",1460,NA,6.5,28.7,13.15
276,"Luxilus chrysocephalus","ecotox",3285,NA,10,24,NA
279,"Rhinichthys atratulus","ecotox",1460,NA,4.75,7.85,NA
282,"Catostomus catostomus","ecotox",7300,NA,37.45,64,NA
283,"Catostomus commersonii","synonym",6205,NA,23,65,137
287,"Xiphophorus maculatus","ecotox",1825,0.83,3.2,5,2.667
288,"Culaea inconstans","ecotox",1095,NA,4.5,8.7,0.4986
289,"Ambloplites rupestris","ecotox",6570,NA,9.4,30.5,30.14
290,"Lepomis megalotis","ecotox",3285,NA,7.5,20,41.1
291,"Pomoxis nigromaculatus","ecotox",5475,NA,19,49,916.2
292,"Etheostoma caeruleum","ecotox",1642,NA,2.8,6.6,2.192
293,"Etheostoma spectabile","ecotox",1460,0.6,3.9,7.2,0.6849
295,"Aplodinotus grunniens","ecotox",11680,NA,22.1,95,1644
302,"Palaemonetes pugio","ecotox",400,0.26,1.8,5,1.33
341,"Menidia beryllina","ecotox",730,NA,8,15,493.2
346,"Homarus americanus","ecotox",21900,NA,17.7,110,NA
365,"Dicentrarchus labrax","ecotox",5475,0.55,NA,103,NA
372,"Gammarus pulex","ecotox",470,0.2,0.8,1.146,0.7333
375,"Menidia menidia","ecotox",730,NA,5,15,0.4575
383,"Phoxinus phoxinus","ecotox",4745,0.5,5,14,2.74
386,"Chanos chanos","ecotox",5475,0.5,65,170,9589
388,"Penaeus japonicus","ecotox",730,NA,NA,22,1507
391,"Anguilla japonica","ecotox",4380,NA,30,150,639.3
400,"Thymallus arcticus","ecotox",6570,NA,24,76,35.47
407,"Notopterus notopterus","ecotox",10950,1.62,27.5,60,0.6027
418,"Channa punctata","ecotox",1100,0.27,15,31,82.19
433,"Fundulus grandis","ecotox",1095,NA,NA,18,35.23
466,"Luxilus cornutus","ecotox",3285,NA,7.4,18,NA
468,"Morone chrysops","ecotox",3285,NA,26.2,45,NA
469,"Sander canadensis","ecotox",6570,NA,32,76,NA
485,"Oreochromis niloticus","ecotox",3285,0.4,18.6,60,6.667
493,"Oreochromis aureus","synonym",2190,NA,13,45.4,12.03
499,"Archosargus probatocephalus","ecotox",7300,NA,35,91,684.9
517,"Bosmina longirostris","ecotox",140,0.02,0.037,0.07,6
528,"Channa striata","ecotox",4380,NA,18,100,45.17
561,"Cyclops vicinus","ecotox",44,0.0207,0.1627,0.1627,16.67
571,"Cynoscion nebulosus","ecotox",6570,NA,35,100,30140
574,"Anguilla anguilla","ecotox",20080,0.48,30,133,639.3
578,"Alosa aestivalis","ecotox",1460,NA,21.5,24.5,547.9
582,"Homarus gammarus","ecotox",21900,NA,8.27,21.4,30
583,"Enneacanthus gloriosus","ecotox",2190,NA,4.2,9.5,1.775
609,"Asellus aquaticus","ecotox",750,0.08,0.325,1.1,1.139
649,"Eurytemora affinis","ecotox",72,0.013,0.149,0.149,34
650,"Amia calva","ecotox",4380,1.2,60,75,175.3
661,"Gadus morhua","ecotox",9125,NA,78,200,117800
700,"Leucoraja erinacea","ecotox",2920,9.7,40.7,54,0.08219
707,"Opsanus beta","ecotox",3285,NA,10,28.5,6.027
714,"Palaemonetes varians","ecotox",400,NA,1.9,5.2,NA
731,"Lipophrys pholis","ecotox",3650,0.5,6.7,16,NA
732,"Palaemon elegans","ecotox",400,NA,3.65,5.84,4.668
736,"Oncorhynchus keta","ecotox",2555,1.6,40,92,NA
761,"Tautogolabrus adspersus","ecotox",2190,NA,6.5,38,NA
766,"Neogobius melanostomus","ecotox",2190,NA,7.75,24.6,13.7
810,"Scyliorhinus canicula","ecotox",4380,10,40,100,0.1247
836,"Daphnia cucullata","ecotox",140,0.04,0.085,0.17,2.667
866,"Polyodon spathula","ecotox",20080,NA,NA,117,1666
882,"Micropogonias undulatus","ecotox",5475,NA,18,55,NA
889,"Acipenser stellatus","ecotox",7665,1.8,120,220,246.5
892,"Ameiurus natalis","ecotox",3285,NA,12.7,47,11.7
894,"Clupea pallasii","ecotox",6935,NA,21.4,46,367.1
900,"Gymnocephalus cernuus","ecotox",2555,0.65,6.5,20,NA
901,"Moina macrocopa","ecotox",NA,0.05,0.11,0.18,19.64
966,"Sphoeroides maculatus","ecotox",1825,NA,12,36,NA
967,"Ictiobus cyprinellus","ecotox",9490,NA,55,123,2056
969,"Pylodictis olivaris","ecotox",9125,NA,46,155,274
1008,"Penaeus semisulcatus","ecotox",620.5,NA,3.22,5.5,NA
1020,"Solea solea","ecotox",9125,0.425,24.5,45,3027
1026,"Squalus acanthias","ecotox",29200,24,72,128.5,NA
1037,"Lithognathus mormyrus","ecotox",2555,0.174,15.48,34.89,1138
1038,"Diplodus sargus","ecotox",3650,NA,17,45,1468
1050,"Argulus coregoni","ecotox",60,0.07,0.92,1.3,NA
1058,"Micropterus treculii","ecotox",2190,NA,8.3,45.2,25.44
1094,"Platichthys stellatus","ecotox",8760,0.35,28.25,91,821.9
1115,"Etheostoma flabellare","ecotox",1460,NA,3,8.4,1.605
1133,"Opsopoeodus emiliae","ecotox",912.5,NA,3,6.8,2.466
1141,"Hypophthalmichthys molitrix","ecotox",7300,NA,51.7,105,547.9
1185,"Huso huso","ecotox",16790,2.5,200,800,5479
1189,"Gobio gobio","ecotox",2920,0.6,8,21,18.71
1195,"Erimyzon sucetta","ecotox",2555,NA,15,39.4,50.62
1196,"Sciaenops ocellatus","ecotox",21900,NA,68,107.5,9589
1213,"Aphanius fasciatus","ecotox",2190,0.51,2.02,7.06,1.4
1268,"Cyprinella lutrensis","ecotox",1460,NA,2.4,7.5,1.874
1342,"Corophium volutator","ecotox",365,0.1,0.5,1.05,0.2904
1366,"Triops longicaudatus","ecotox",40,0.0944,NA,3.1,22
1397,"Mugil curema","ecotox",8395,NA,19.7,91,10960
1517,"Kryptolebias marmoratus","synonym",1460,0.51,1.7,4.5,NA
1577,"Neomysis integer","ecotox",365,0.2,0.8,1.7,NA
1581,"Mallotus villosus","ecotox",3650,0.24,13.5,23,NA
1585,"Channa marulius","ecotox",4380,NA,85,183,109.6
1651,"Noturus miurus","ecotox",1095,NA,4.302,13,NA
1654,"Leuresthes tenuis","ecotox",2920,NA,11.5,19,NA
1659,"Gobiosoma bosc","ecotox",1460,NA,2.5,6.4,24.66
1669,"Astacus astacus","ecotox",5475,1.2,7.7,14,0.5479
1681,"Xiphophorus helleri","ecotox",1278,0.83,2.75,15,0.5479
1691,"Etheostoma nigrum","ecotox",1460,NA,3.3,7.2,3.419
1695,"Notropis stramineus","ecotox",1095,NA,3.8,8.2,7.123
1696,"Rhinichthys cataractae","ecotox",1825,NA,6,13.4,NA
1709,"Fundulus notatus","ecotox",803,NA,3.5,8,0.6849
1711,"Notropis buccatus","ecotox",1278,NA,5,8.5,3.984
1715,"Lythrurus umbratilis","ecotox",730,NA,3.75,8.8,2.43
1789,"Esox masquinongy","ecotox",10950,NA,77,183,1233
1895,"Limanda ferruginea","synonym",4380,NA,29.9,64,2020
1934,"Prosopium williamsoni","ecotox",6205,NA,30,70,66.15
1940,"Praunus flexuosus","ecotox",365,0.3,1.8,2.6,NA
1977,"Scophthalmus maximus","synonym",13870,0.37,46.01,84.2,22740
1990,"Hybognathus placitus","ecotox",912.5,NA,5.3,13,NA
2079,"Clarias gariepinus","ecotox",5475,NA,NA,170,NA
2107,"Pagurus bernhardus","ecotox",1460,NA,3.62,8,1.644
2124,"Cancer pagurus","ecotox",36500,NA,11.85,25.45,8219
2145,"Scardinius erythrophthalmus","ecotox",6935,NA,8.1,61.7,630.1
2148,"Portunus trituberculatus","ecotox",730,NA,NA,25,7296
2162,"Coregonus lavaretus","ecotox",5475,NA,25,73,NA
2180,"Temora longicornis","ecotox",60,0.0138,0.1054,0.1054,51.49
2191,"Salvelinus alpinus","ecotox",1460,2,35,107,8.219
2193,"Paralichthys lethostigma","ecotox",3650,NA,30,91.5,109.6
2195,"Aphanius dispar","ecotox",1460,NA,3,7,0.5479
2197,"Pungitius pungitius","ecotox",1825,0.63,3.7,7.4,0.2192
2231,"Silurus glanis","ecotox",29200,0.7,87.5,278,9370
2238,"Notropis rubellus","ecotox",1095,NA,4.5,9,2.466
2258,"Gammarus fossarum","ecotox",630,0.12,0.81,1.47,0.9516
2266,"Hypophthalmichthys nobilis","ecotox",7300,NA,65,170,5311
2278,"Pomatoschistus minutus","ecotox",730,0.25,4,9,14
2279,"Clupea harengus","ecotox",8030,1.1,29,45,54.79
2309,"Diaphanosoma brachyurum","ecotox",NA,0.047,0.079,0.18,1
2310,"Leptodora kindtii","ecotox",120,0.18,0.653,2.1,1
2333,"Abramis brama","ecotox",5475,NA,26,72,NA
2371,"Ceriodaphnia dubia","ecotox",59,0.036,0.063,0.09832,NA
2383,"Centropomus undecimalis","ecotox",7300,0.22,17.5,140,10960
2409,"Cyclopterus lumpus","ecotox",4745,0.4,31.5,50.5,958.9
2497,"Galaxias maculatus","ecotox",1642,0.7,6.5,19,36.99
2513,"Entosphenus tridentatus","synonym",3285,NA,14.4,76,NA
2514,"Acipenser brevirostrum","ecotox",24460,NA,50,143,274
2515,"Acipenser fulvescens","ecotox",54750,NA,120,274,NA
2516,"Acipenser oxyrinchus","synonym",21900,NA,NA,416.5,21920
2517,"Acipenser transmontanus","ecotox",39420,1.2,160,610,547.9
2519,"Scaphirhynchus platorynchus","ecotox",15700,NA,54.7,108,140.3
2520,"Lepisosteus oculatus","ecotox",6570,2.2,NA,133,54.79
2547,"Oncorhynchus gilae","ecotox",1642,NA,15,23,0.411
2591,"Notropis topeka","ecotox",1095,NA,3.5,5.5,NA
2599,"Ptychocheilus lucius","ecotox",4380,NA,NA,180,NA
2605,"Catostomus latipinnis","ecotox",7300,NA,43.15,56,109.6
2617,"Xyrauchen texanus","ecotox",18250,NA,54,90.5,282.2
2618,"Ictalurus furcatus","ecotox",12410,NA,59,165,NA
2632,"Apeltes quadracus","ecotox",1095,NA,2.5,6.4,0.09863
2876,"Fundulus parvipinnis","ecotox",1095,NA,5,10.8,1.203
3034,"Leptomysis lingvura","ecotox",365,0.165,0.485,0.7,0.35
3044,"Fenneropenaeus chinensis","synonym",730,NA,4,23.5,4110
3056,"Sander vitreus","ecotox",10580,NA,36,107,NA
4386,"Cottus gobio","ecotox",3650,NA,4.2,18,1.644
4393,"Gambusia holbrooki","ecotox",912.5,0.7,1.85,6.35,1.644
4595,"Scorpaenichthys marmoratus","ecotox",4745,0.585,31.7,99,NA
4603,"Ameiurus nebulosus","ecotox",3285,NA,25,55,37.81
4631,"Stephanolepis hispidus","synonym",1460,NA,13.9,27.5,250.2
4707,"Tigriopus brevicornis","ecotox",37,NA,NA,NA,NA
4776,"Acanthopagrus schlegelii","ecotox",3285,NA,20,50,NA
4804,"Vimba vimba","ecotox",5475,NA,18.7,50,54.79
4805,"Acipenser ruthenus","ecotox",9500,0.65,42,120,295.9
4810,"Gila elegans","ecotox",1825,NA,NA,62,NA
4844,"Engraulis japonicus","ecotox",3650,NA,10.5,18,600
4866,"Monopterus albus","ecotox",3650,NA,41,100,2.74
5156,"Danio rerio","ecotox",1642,0.4,3.25,5,240
5225,"Orconectes neglectus","ecotox",1460,NA,1.3,2.1,NA
5363,"Platygobio gracilis","ecotox",1642,NA,9.5,32,NA
5435,"Argyrosomus japonicus","ecotox",5475,NA,60,181,2740
5473,"Lepeophtheirus salmonis","ecotox",210,0.07,1.2,1.2,33.27
5528,"Pacifastacus leniusculus","ecotox",7300,1.1,8.1,14,0.9589
5871,"Odontesthes argentinensis","ecotox",2555,NA,16.1,42.1,27.4
6046,"Melanogrammus aeglefinus","ecotox",7300,NA,34.9,112,863
6051,"Catostomus platyrhynchus","ecotox",3285,NA,11,25,NA
7377,"Pterophyllum scalare","ecotox",3285,NA,NA,NA,NA
10418,"Solea senegalensis","ecotox",4015,0.2484,33,52,4160
10501,"Notropis blennius","ecotox",1825,NA,5.9,13.2,NA
11036,"Sparus aurata","ecotox",4015,0.363,36.5,70,NA
11164,"Sander lucioperca","ecotox",5840,NA,37.5,120,NA
11595,"Channa argus","ecotox",5475,NA,30,100,315.1
11599,"Zoarces viviparus","ecotox",NA,5.1,20.25,46,NA
11771,"Chasmistes brevirostris","ecotox",16060,NA,46.5,64,198.6
11772,"Deltistes luxatus","ecotox",20800,NA,30,86,646.6
11784,"Cyprinodon bovinus","ecotox",701.5,NA,3,5.6,2.192
15658,"Aphanius iberus","ecotox",511,NA,2.5,5.5,2.466
16284,"Oithona similis","ecotox",45,NA,NA,NA,2.5
16409,"Cynopoecilus melanotaenia","ecotox",328.5,0.469,1.855,3,NA
16546,"Siganus rivulatus","ecotox",1095,NA,13.7,27,1942
16740,"Pogonichthys macrolepidotus","ecotox",1825,NA,22.97,44,728.8
16769,"Acanthocyclops robustus","ecotox",75,0.012,0.147,0.147,36.67
17738,"Litopenaeus stylirostris","ecotox",620.5,NA,10.9,15.7,NA
18756,"Heterobranchus longifilis","ecotox",4380,NA,NA,150,NA
20118,"Carassius gibelio","ecotox",3650,NA,8.4,38,4932
20125,"Coryphaena hippurus","ecotox",1825,0.5,20,210,5479
20159,"Colossoma macropomum","ecotox",23720,NA,60,110,821.9
20304,"Hybognathus amarus","ecotox",1825,NA,4,10,NA
20381,"Neohelice granulata","ecotox",1825,NA,2,3.1,NA
25227,"Pangasianodon hypophthalmus","ecotox",7300,0.33,NA,130,217000
25534,"Coregonus albula","ecotox",3650,NA,14.4,48,82.19
26920,"Gila cypha","ecotox",1825,0.705,NA,41,NA
27776,"Acipenser persicus","ecotox",14240,2.57,155,230,301.3
29049,"Brycon amazonicus","ecotox",2920,NA,22.4,46.2,7.382
29799,"Dikerogammarus villosus","ecotox",330,0.19,0.65,2,NA
29856,"Fundulus seminolis","ecotox",730,NA,6,16,NA
31364,"Arapaima gigas","ecotox",7300,1.4,160,240,54.79
31962,"Amphibalanus amphitrite","ecotox",511,NA,0.75,1.85,547.9
32227,"Piaractus brachypomus","ecotox",10220,NA,52,88,90.58
38496,"Diplodus cervinus","ecotox",6205,NA,16,55,2085
43105,"Notropis maculatus","ecotox",730,NA,3.3,7.6,NA
48206,"Nothobranchius furzeri","ecotox",112,0.46,2.5,5.85,NA
49938,"Mugil liza","ecotox",8395,NA,35,74.5,10960
56587,"Cyprinella trichroistia","ecotox",1460,NA,5.17,10,0.4055
56610,"Atractosteus spatula","ecotox",25550,1.35,NA,257,411
